1000 189.58 730.63 231.22
274000 48790.69 54220.53 51841.27
547000 98813.09 107515.69 103129.44
820000 146618.32 161639.18 154701.87
1093000 194845.03 216960.05 208156.26
1366000 245516.30 277941.31 261360.96
1639000 303344.34 346144.37 321203.66
1912000 360492.85 400047.34 384376.10
2185000 441178.78 485505.70 464288.62
2458000 525093.12 587406.96 552046.72
2731000 601111.49 672212.35 637808.28
3004000 678550.92 741975.80 710184.45
3277000 721472.58 811902.94 778898.34
3550000 804471.23 890248.41 843710.85
3823000 866712.36 969994.94 910418.24
4096000 924486.79 1044620.37 977357.78
