10 220.29 359.18 290.35
60 5375.94 19641.13 7147.26
110 18066.12 23404.84 20784.91
160 37450.29 47513.33 42763.61
210 66343.18 84410.54 75093.22
260 104824.95 156511.47 118150.03
310 146433.77 181910.57 158933.42
360 198308.68 239362.42 216378.12
410 259191.41 306570.56 282108.91
460 329773.58 379976.88 352413.38
510 404663.46 553032.88 427603.19
560 477996.49 547612.37 513969.02
610 585179.80 642360.10 610328.91
660 685724.40 771812.50 718186.78
710 788291.47 1178104.00 864044.24
760 917979.02 1103294.51 959066.02
810 1032670.19 1236873.47 1092997.78
860 1168418.28 1322512.06 1227210.45
910 1299495.20 1502247.47 1362223.68
960 1446005.36 1656949.70 1523748.40
